ID bloco;Xi;Yi;Xf;Yf;Tipo;Layer;Lenght;ID fiada;ID par;Check;XiDelta;YiDelta;;
B14000001;16.5352;17.61;16.6752;17.8;POLYLINE;BP;14;F140001;P0010;;560;260;;
B14000002;16.5352;17.21;16.6752;17.4;POLYLINE;BP;14;F120001;P0010;;560;220;;
B14000003;16.5352;16.81;16.6752;17;POLYLINE;BP;14;F100001;P0010;;560;180;;
B14000004;16.5352;16.41;16.6752;16.6;POLYLINE;BP;14;F080001;P0010;;560;140;;
B14000005;16.5352;16.01;16.6752;16.2;POLYLINE;BP;14;F060001;P0010;;560;100;;
B14000006;16.5352;15.61;16.6752;15.8;POLYLINE;BP;14;F040001;P0010;;560;60;;
B14000007;16.5352;15.21;16.6752;15.4;POLYLINE;BP;14;F020001;P0010;;560;20;;
B39000001;64.7489;15.21;65.1389;15.4;POLYLINE;B39;39;F020013;P0003;;595;20;;
B39000002;64.7489;16.01;65.1389;16.2;POLYLINE;B39;39;F060013;P0003;;595;100;;
B39000003;64.7489;16.41;65.1389;16.6;POLYLINE;B39;39;F080014;P0003;;595;140;;
B39000004;64.7489;16.81;65.1389;17;POLYLINE;B39;39;F100014;P0003;;595;180;;
B34000001;58.7989;17.41;59.1389;17.6;POLYLINE;B34C;34;F130006;P0003;;0;240;;
B34000002;58.7989;17.41;59.1389;17.6;POLYLINE;B34C;34;F130006;P0003;;0;240;;
B19000001;71.3489;17.01;71.5389;17.2;POLYLINE;B19;19;F110016;P0002;;620;200;;
B19000002;71.3489;16.61;71.5389;16.8;POLYLINE;B19;19;F090021;P0002;;620;160;;
B19000003;71.3489;16.21;71.5389;16.4;POLYLINE;B19;19;F070020;P0002;;620;120;;
B19000004;69.1489;17.01;69.3389;17.2;POLYLINE;B19;19;F110021;P0002;;400;200;;
B19000005;69.1489;16.61;69.3389;16.8;POLYLINE;B19;19;F090021;P0002;;400;160;;
B19000006;69.1489;16.21;69.3389;16.4;POLYLINE;B19;19;F070020;P0002;;400;120;;
B19000007;67.7489;17.01;67.9389;17.2;POLYLINE;B19;19;F110021;P0002;;260;200;;
B19000008;67.7489;16.61;67.9389;16.8;POLYLINE;B19;19;F090021;P0002;;260;160;;
