ID fiada	Xi	Yi	Xf	Yf	Tipo	Layer	N£mFiada	ID par	Check	XiDelta	YiDelta	
F140001	11.0853	17.61	16.6752	17.61	LINE	FIADAS	14	P0010		15	260	
F130001	11.0853	17.41	16.6752	17.41	LINE	FIADAS	13	P0010		15	240	
F120001	11.0853	17.21	16.6752	17.21	LINE	FIADAS	12	P0010		15	220	
F110001	15.8853	17.01	16.6752	17.01	LINE	FIADAS	11	P0010		495	200	
F110002	13.4853	17.01	14.6753	17.01	LINE	FIADAS	11	P0010		255	200
F110003	11.0853	17.01	11.8753	17.01	LINE	FIADAS	11	P0010		15	200
F100001	15.8853	16.81	16.6752	16.81	LINE	FIADAS	10	P0010		495	180
F100002	13.4853	16.81	14.6753	16.81	LINE	FIADAS	10	P0010		255	180
F100003	11.0853	16.81	11.8753	16.81	LINE	FIADAS	10	P0010		15	180	
F090001	15.8853	16.61	16.6752	16.61	LINE	FIADAS	9	P0010		495	160	
F090002	13.4853	16.61	14.6753	16.61	LINE	FIADAS	9	P0010		255	160
F090003	11.0853	16.61	11.8753	16.61	LINE	FIADAS	9	P0010		15	160	
F080001	15.8853	16.41	16.6752	16.41	LINE	FIADAS	8	P0010		495	140	
F080002	13.4853	16.41	14.6753	16.41	LINE	FIADAS	8	P0010		255	140	
F080003	11.0853	16.41	11.8753	16.41	LINE	FIADAS	8	P0010		15	140	
F070001	15.8853	16.21	16.6752	16.21	LINE	FIADAS	7	P0010		495	120	
F070002	13.4853	16.21	14.6753	16.21	LINE	FIADAS	7	P0010		255	120	
F070003	11.0853	16.21	11.8753	16.21	LINE	FIADAS	7	P0010		15	120	
F060001	15.8853	16.01	16.6752	16.01	LINE	FIADAS	6	P0010		495	100	
F060002	13.4853	16.01	14.6753	16.01	LINE	FIADAS	6	P0010		255	100	
F060003	11.0853	16.01	11.8753	16.01	LINE	FIADAS	6	P0010		15	100	
F050001	13.4853	15.81	16.6752	15.81	LINE	FIADAS	5	P0010		255	80	
F050002	11.0853	15.81	11.8753	15.81	LINE	FIADAS	5	P0010		15	80	
F040001	13.4853	15.61	16.6752	15.61	LINE	FIADAS	4	P0010		255	60	
F040002	11.0853	15.61	11.8753	15.61	LINE	FIADAS	4	P0010		15	60	
F030001	13.4853	15.41	16.6752	15.41	LINE	FIADAS	3	P0010		255	40	
F030002	11.0853	15.41	11.8753	15.41	LINE	FIADAS	3	P0010		15	40	
F020001	13.4853	15.21	16.6752	15.21	LINE	FIADAS	2	P0010		255	20	
F020002	11.0853	15.21	11.8753	15.21	LINE	FIADAS	2	P0010		15	20	
F010001	13.4853	15.01	16.6752	15.01	LINE	FIADAS	1	P0010		255	0	
F010002	11.0853	15.01	11.8753	15.01	LINE	FIADAS	1	P0010		15	0	
F130002	19.0252	17.41	26.4252	17.41	LINE	FIADAS	13	P0009		0	240	
F120002	19.0252	17.21	26.4252	17.21	LINE	FIADAS	12	P0009		0	220	
F110004	22.8252	17.01	26.4252	17.01	LINE	FIADAS	11	P0009		380	200	
F110005	19.0252	17.01	22.2152	17.01	LINE	FIADAS	11	P0009		0	200	
F100004	22.8252	16.81	26.4252	16.81	LINE	FIADAS	10	P0009		380	180	
F100005	19.0252	16.81	22.2152	16.81	LINE	FIADAS	10	P0009		0	180	
F090004	22.8252	16.61	26.4252	16.61	LINE	FIADAS	9	P0009		380	160	
F090005	19.0252	16.61	22.2152	16.61	LINE	FIADAS	9	P0009		0	160	
F080004	22.8252	16.41	26.4252	16.41	LINE	FIADAS	8	P0009		380	140	
F080005	19.0252	16.41	22.2152	16.41	LINE	FIADAS	8	P0009		0	140	
F070004	19.0252	16.21	26.4252	16.21	LINE	FIADAS	7	P0009		0	120	
F060004	19.0252	16.01	26.4252	16.01	LINE	FIADAS	6	P0009		0	100	
F050003	25.0252	15.81	26.4252	15.81	LINE	FIADAS	5	P0009		600	80	
F050004	19.0252	15.81	24.2152	15.81	LINE	FIADAS	5	P0009		0	80	
F040003	25.0252	15.61	26.4252	15.61	LINE	FIADAS	4	P0009		600	60	
F040004	19.0252	15.61	24.2152	15.61	LINE	FIADAS	4	P0009		0	60	
F030003	25.0252	15.41	26.4252	15.41	LINE	FIADAS	3	P0009		600	40	
F030004	19.0252	15.41	24.2152	15.41	LINE	FIADAS	3	P0009		0	40	
F020003	25.0252	15.21	26.4252	15.21	LINE	FIADAS	2	P0009		600	20	
F020004	19.0252	15.21	24.2152	15.21	LINE	FIADAS	2	P0009		0	20	
F010003	25.0252	15.01	26.4252	15.01	LINE	FIADAS	1	P0009		600	0	
